segment0,segment3,segment2,segment1
5,16,15,10
5,16,15,10
5,16,15,10
5,16,15,10
5,16,15,10
5,16,15,10
5,16,15,10
5,16,15,10
5,16,15,10
5,16,15,10
5,16,10,10
5,16,10,10
5,16,10,10
5,16,10,15
5,16,10,15
0,17,10,15
0,17,10,15
0,17,7,15
0,17,7,15
0,17,7,15
0,17,7,20
0,12,7,20
0,12,7,20
0,12,12,20
0,12,12,20
0,12,12,20
0,12,12,19
0,15,12,19
0,12,12,19
0,15,17,19
0,15,17,19
0,15,17,19
0,15,17,19
0,15,12,19
0,15,17,14
5,20,17,14
5,20,17,14
5,20,22,14
5,20,22,14
5,20,22,14
5,20,22,9
5,20,22,9
10,15,22,9
10,15,17,9
10,15,17,9
10,15,22,9
10,10,17,4
15,10,17,4
15,10,12,4
10,15,17,9
15,10,12,4
15,10,12,4
15,10,12,3
15,10,12,4
10,15,17,4
20,5,12,3
20,5,12,3
20,5,7,3
20,5,7,3
20,5,7,0
20,10,7,0
20,5,7,3
15,10,7,0
20,5,7,3
15,10,2,0
15,10,2,0
15,10,2,0
15,10,2,0
11,5,2,5
11,5,7,5
15,10,2,5
11,5,2,5
11,5,7,5
11,5,7,5
11,5,7,10
11,10,7,10
11,10,7,10
11,10,7,10
11,10,12,10
11,10,12,10
11,10,12,10
11,10,12,10
11,10,12,5
11,15,12,5
6,15,12,5
6,15,12,5
6,15,17,5
6,15,17,5
6,15,17,5
6,10,17,10
6,15,17,10
11,10,12,10
11,10,17,10
11,10,12,10
11,10,12,10
11,5,12,6
6,5,12,6
11,10,12,6
11,10,17,10
6,5,12,6
6,5,9,6
6,5,9,9
6,5,9,6
6,5,9,6
6,10,9,9
5,10,9,9
5,10,9,9
5,10,7,9
5,10,7,9
5,10,7,4
5,10,7,4
7,5,7,4
7,5,7,4
7,5,4,4
7,5,4,4
7,5,4,4
7,5,4,4
7,0,4,4
10,0,4,4
10,0,4,4
10,0,4,4
10,0,4,4
10,0,4,9
10,0,4,4
10,2,4,9
8,2,4,9
8,2,4,9
8,2,4,9
8,2,4,9
8,2,4,9
8,0,4,14
8,2,4,14
13,0,4,14
13,0,7,14
13,0,7,14
13,0,7,14
13,0,7,19
13,0,7,19
15,0,7,19
15,0,12,19
15,0,7,19
15,0,12,19
15,0,12,19
15,0,12,14
15,0,12,14
10,0,12,14
10,0,7,14
10,0,7,14
10,0,7,14
10,0,7,9
10,3,7,9
5,3,7,9
5,3,7,9
5,3,6,9
5,3,6,9
5,3,6,9
5,3,6,4
5,0,6,4
5,0,6,4
5,0,6,4
5,0,11,4
5,0,11,4
5,0,11,4
5,0,11,7
5,5,11,7
4,5,10,7
4,5,10,7
4,5,10,7
4,5,11,7
4,5,10,7
4,5,10,12
8,3,10,12
4,3,10,12
8,3,10,12
8,3,5,12
8,3,5,12
8,3,5,17
8,3,5,12
13,0,5,17
13,0,5,17
13,0,5,17
8,0,5,17
13,0,5,17
13,0,5,17
13,0,5,12
13,2,5,12
8,2,3,12
8,2,5,12
8,2,3,12
8,2,3,12
8,2,3,12
8,2,3,16
8,0,3,16
13,0,3,16
13,0,3,16
13,0,3,16
13,0,3,16
13,0,3,16
13,0,3,20
13,5,3,20
12,5,3,20
12,5,8,20
12,5,8,20
12,5,8,20
12,5,8,15
12,5,8,15
12,5,8,15
12,5,8,15
12,5,4,15
12,5,4,15
12,5,4,15
12,5,4,10
12,1,4,10
15,1,4,10
15,1,6,10
15,1,4,10
15,1,6,10
15,1,6,10
15,1,6,5
15,1,6,5
10,4,6,5
10,4,7,5
10,4,7,5
10,4,7,5
10,4,7,5
10,4,7,4
5,9,7,4
5,9,7,4
5,9,8,4
5,9,8,4
5,9,8,4
5,9,8,4
5,9,8,0
10,4,8,0
10,4,8,0
10,4,13,0
10,4,13,0
10,4,13,0
10,4,13,0
10,4,13,5
14,4,13,5
14,4,13,5
14,4,13,5
14,4,15,5
14,4,15,5
14,4,15,10
17,4,15,10
17,4,15,10
17,4,10,10
14,4,15,5
17,4,10,10
17,4,10,10
17,4,10,15
17,0,10,15
17,0,10,15
17,0,10,15
17,0,6,15
17,0,6,15
17,0,6,15
17,0,6,10
12,0,6,10
12,0,6,10
12,0,11,10
12,0,11,10
12,0,11,10
12,2,11,12
17,2,11,12
17,2,6,12
17,2,6,12
17,2,6,12
17,2,6,12
12,0,11,12
17,2,6,12
12,7,6,12
12,7,11,12
12,7,11,12
12,7,11,12
12,7,6,12
12,7,11,7
12,7,11,7
10,10,8,7
10,10,11,7
10,10,11,7
10,10,8,7
10,10,8,12
10,5,8,12
10,10,8,7
15,5,3,12
15,5,8,12
15,5,3,12
15,5,3,12
15,5,3,12
15,5,3,13
20,8,3,13
20,8,3,13
20,8,2,13
20,8,2,13
20,8,2,13
20,8,2,13
20,8,2,8
20,5,2,8
15,5,2,8
15,5,7,8
15,5,7,8
15,5,7,9
15,5,7,8
13,3,7,9
15,5,7,8
13,3,7,9
13,3,9,9
13,3,9,9
13,3,9,9
13,3,9,6
18,7,9,6
13,3,9,6
18,7,9,6
18,7,10,6
18,7,10,6
18,7,10,6
18,7,10,4
18,7,10,4
13,5,10,4
13,5,10,4
13,5,5,4
13,5,5,4
13,5,5,4
13,5,5,5
8,10,5,5
8,10,5,5
8,10,4,5
8,10,4,5
8,10,4,4
8,10,4,4
8,10,4,5
3,10,4,4
3,10,4,4
3,10,3,4
3,10,3,4
3,10,3,4
3,10,3,9
3,10,3,9
8,8,3,9
8,8,3,9
8,8,4,9
8,8,4,9
8,8,4,9
8,8,4,13
8,3,4,13
13,3,4,13
13,3,4,13
13,3,9,13
13,3,9,13
13,3,9,13
13,3,9,8
13,5,9,8
8,5,9,8
8,5,5,8
8,5,5,8
8,5,5,8
8,5,5,8
8,5,5,10
3,4,5,10
3,4,5,10
3,4,0,10
3,4,0,10
3,4,0,10
3,4,0,12
3,5,0,12
8,5,0,12
8,5,0,12
8,5,0,12
8,5,0,12
8,5,0,12
8,5,0,7
8,6,0,7
4,6,0,7
4,6,0,7
4,6,3,7
4,6,3,7
4,6,3,7
4,1,3,9
4,6,3,9
3,1,3,9
3,1,3,9
3,1,3,9
3,1,3,9
3,1,3,5
8,0,3,5
8,0,3,5
3,1,3,5
