segment0,segment3,segment2,segment1
2,10,0,2
2,11,0,2
2,11,0,2
2,11,0,2
2,11,0,2
2,11,0,2
4,11,0,0
4,9,0,0
4,9,2,0
4,9,2,0
4,9,2,3
4,9,2,0
3,9,2,3
4,9,2,0
3,9,7,3
3,9,7,3
3,9,7,3
3,9,7,3
3,9,7,8
8,9,7,8
8,4,3,8
8,4,3,8
8,4,3,8
8,4,7,8
8,4,3,8
8,4,3,13
9,3,3,13
9,3,0,13
9,3,0,13
9,3,0,13
9,3,0,18
8,3,0,18
8,8,3,18
8,8,3,13
3,8,3,13
9,3,0,13
8,8,3,18
8,8,3,18
8,8,3,18
3,6,8,13
8,8,0,18
3,6,8,13
3,6,8,18
3,6,8,18
3,6,8,13
8,9,13,18
8,9,13,18
8,9,13,18
8,9,13,18
8,9,13,18
8,9,13,20
13,9,13,20
8,6,8,18
13,4,8,20
13,4,8,20
13,4,8,20
13,4,8,20
18,4,8,20
13,4,13,20
18,8,3,20
18,8,3,20
18,8,3,20
18,8,3,20
18,8,3,16
13,3,3,16
13,3,5,16
13,3,5,16
13,3,5,16
13,8,3,16
13,3,5,16
13,3,5,17
8,3,5,17
8,0,10,17
8,0,10,17
8,0,10,17
8,0,10,17
9,0,10,12
9,5,15,12
9,5,15,12
8,0,10,12
6,5,15,7
6,7,15,7
9,5,10,12
6,7,20,7
6,7,20,7
9,5,15,12
6,7,20,7
6,7,20,7
6,7,20,12
10,7,20,12
10,10,20,12
10,10,15,12
10,10,15,12
3,6,3,13
10,10,15,12
3,6,8,13
10,10,15,17
13,4,8,20
10,10,15,17
5,5,12,17
5,5,12,17
5,5,15,17
5,5,12,13
5,5,12,13
5,10,12,13
5,5,12,17
5,10,17,13
5,10,17,13
5,10,17,13
5,10,17,18
5,10,17,13
5,10,17,18
5,5,12,18
5,5,12,18
5,5,12,18
5,5,12,18
5,5,12,23
5,5,12,17
7,5,12,23
7,0,12,23
7,0,12,23
7,0,12,18
7,0,12,18
7,0,12,18
7,0,12,23
7,0,17,18
7,0,17,18
7,0,17,18
7,0,17,23
7,0,17,18
5,0,17,23
5,5,12,23
5,5,12,23
5,5,12,23
5,5,12,28
5,5,12,23
6,0,12,28
6,5,12,28
6,0,8,28
6,0,8,28
6,0,8,23
7,0,12,23
6,0,8,23
1,0,8,23
1,0,3,23
1,0,3,23
0,0,3,21
1,0,3,23
0,2,3,21
0,2,3,21
0,2,3,21
1,0,3,23
0,2,3,21
0,2,3,21
1,0,3,21
0,2,3,16
0,2,3,16
0,2,2,16
5,2,2,11
5,2,1,11
5,2,1,11
0,2,3,16
5,2,1,6
5,2,1,6
2,7,1,6
2,7,1,6
2,7,1,6
2,7,1,6
2,7,1,11
4,12,1,11
4,12,6,11
4,12,6,11
5,2,1,11
4,12,6,11
5,2,2,11
9,12,6,9
4,7,1,11
8,0,10,17
9,17,6,9
9,17,11,9
9,17,11,9
9,17,11,9
14,17,11,8
9,17,11,8
14,12,7,8
14,12,7,8
14,12,7,8
9,5,15,12
9,12,7,11
9,7,6,11
9,7,7,11
9,7,6,11
9,7,6,11
9,7,6,11
9,7,6,11
4,8,6,11
9,7,6,11
4,8,6,11
4,8,6,11
4,8,6,11
4,8,6,16
4,8,6,16
9,8,6,16
9,7,11,16
9,7,11,16
9,7,11,16
9,7,11,16
9,7,11,21
14,7,11,21
14,7,16,21
5,5,17,23
14,7,16,21
14,7,16,16
14,7,16,16
5,5,17,18
9,5,15,7
9,10,16,16
9,10,11,16
9,10,11,16
9,10,11,16
9,10,11,21
9,10,11,16
4,10,11,21
4,5,6,21
4,5,6,21
4,5,6,21
4,5,6,21
8,5,6,16
8,10,3,16
8,10,3,16
8,10,3,16
4,5,6,16
8,10,3,16
8,10,3,15
8,10,3,15
13,10,3,15
13,9,8,15
13,9,8,15
13,9,8,15
6,0,8,28
13,9,8,20
13,9,8,20
18,4,4,20
18,4,4,20
18,4,4,20
18,4,4,20
13,4,4,18
18,4,4,18
13,9,4,18
13,9,9,18
13,9,9,18
13,9,9,13
8,9,9,13
8,14,14,13
8,14,14,13
13,9,9,13
8,14,14,13
8,14,14,13
8,14,14,18
3,14,14,18
3,9,14,18
18,9,8,20
3,9,14,18
3,9,14,18
3,9,14,23
0,2,2,16
3,9,14,23
6,9,14,23
6,4,19,23
6,4,19,23
6,4,19,23
6,4,19,23
6,4,19,28
6,4,19,28
11,4,19,28
11,9,24,28
5,2,1,11
0,2,2,16
11,9,24,33
14,9,24,33
14,4,24,33
14,4,19,33
14,4,19,33
14,4,19,33
14,4,19,38
9,4,19,38
9,1,17,38
9,1,17,38
9,1,17,38
14,1,17,33
14,4,17,33
14,4,12,33
14,4,12,33
14,4,12,28
9,1,17,33
19,4,12,28
19,6,9,28
19,6,9,28
19,6,9,23
14,6,9,23
19,6,9,23
14,1,8,23
19,6,9,28
14,1,8,23
14,1,8,23
14,1,8,18
14,1,8,18
11,2,3,18
11,2,3,18
11,2,8,18
11,2,3,18
11,2,3,18
11,2,3,22
11,5,3,22
11,5,8,22
11,5,8,22
11,5,8,27
6,8,8,27
6,8,13,27
11,5,8,22
6,8,13,27
6,8,13,27
6,8,13,26
9,8,13,26
9,3,8,26
9,3,13,26
6,8,13,27
9,3,8,26
9,3,8,26
9,3,8,26
9,3,8,31
14,3,8,31
14,6,5,31
14,6,5,31
14,6,5,26
9,6,5,26
9,1,5,26
9,1,3,26
9,1,3,26
4,0,3,21
9,1,3,21
9,1,3,26
4,0,2,21
4,1,3,21
4,0,2,21
4,0,2,16
4,0,2,16
9,0,6,16
9,0,6,16
9,0,6,16
9,0,2,16
9,1,3,21
9,0,13,10
9,0,13,8
9,0,13,10
9,0,13,10
5,0,16,8
5,0,16,8
4,4,8,10
5,0,16,8
5,0,16,12
10,4,16,12
10,4,11,12
9,0,6,16
15,4,11,13
10,4,11,13
15,8,10,13
10,4,11,13
15,8,10,13
15,8,10,13
4,4,8,11
15,8,10,8
10,8,10,8
10,13,5,8
4,4,8,10
9,0,8,10
9,0,6,11
10,13,5,8
10,13,5,3
15,8,8,3
15,8,8,3
15,8,8,3
4,4,6,11
15,8,8,3
4,0,6,11
18,8,8,8
18,7,4,8
18,7,4,13
4,4,8,11
4,4,8,11
19,7,4,13
19,12,4,13
19,12,4,13
19,12,4,13
22,12,4,18
19,12,4,18
22,9,0,18
22,9,0,18
22,9,0,18
19,12,4,18
22,9,0,18
19,12,4,13
22,9,0,23
27,9,0,23
27,14,0,23
5,0,16,8
22,19,1,22
9,4,8,10
22,19,1,18
17,24,1,18
17,24,5,18
5,0,16,8
17,24,5,20
12,24,5,20
17,24,5,18
10,13,5,8
12,19,8,20
12,19,8,20
12,19,8,20
12,19,8,15
