segment0,segment3,segment2,segment1
38,15,9,33
38,15,9,33
38,15,9,33
38,15,9,33
38,15,9,33
38,15,9,33
38,15,9,33
38,15,9,38
38,15,9,38
38,15,9,38
38,20,14,38
38,20,14,38
37,20,14,38
37,20,14,38
37,20,14,43
37,20,14,43
37,25,19,43
37,25,19,43
37,20,14,43
32,25,19,43
32,25,19,43
32,25,19,48
32,25,19,48
32,25,19,48
32,30,21,48
27,30,21,48
27,30,21,48
27,30,21,53
27,30,21,53
27,30,21,53
27,35,21,53
32,30,21,48
22,35,21,53
22,35,21,53
22,35,21,53
22,35,21,48
22,35,21,48
22,40,26,48
22,40,26,48
21,40,26,48
21,40,26,48
21,40,26,43
21,40,26,43
21,40,26,43
21,37,21,43
21,37,21,43
26,37,21,43
26,37,21,38
26,37,21,43
26,32,16,38
24,32,16,38
26,37,21,38
24,32,16,38
24,32,16,43
26,37,21,38
24,32,16,43
24,27,16,43
24,27,11,43
24,32,16,38
24,27,11,43
26,27,11,43
26,27,11,43
26,27,11,48
26,27,11,48
26,25,11,48
26,25,6,48
27,25,6,48
27,25,6,48
27,25,6,48
27,25,6,53
27,25,6,53
27,20,6,53
27,20,3,53
29,20,3,53
29,20,3,53
29,20,3,53
29,20,3,58
29,20,3,58
29,15,3,58
29,15,8,58
24,15,8,58
24,15,8,58
24,15,8,58
24,15,8,53
24,15,8,53
24,13,8,53
24,13,13,53
19,13,13,53
19,13,13,53
19,13,13,48
19,13,13,48
19,13,13,48
19,18,18,48
19,18,18,48
14,18,18,48
14,18,18,48
14,18,18,48
14,18,18,43
14,18,18,43
14,14,18,43
9,14,23,43
9,14,23,43
9,14,23,43
14,14,23,43
9,14,23,38
9,14,23,38
9,10,23,38
9,10,28,38
14,10,28,38
14,10,28,38
14,10,28,38
14,10,28,33
14,10,28,33
14,5,28,33
14,5,23,33
9,5,23,33
9,5,23,33
9,5,23,33
9,5,23,28
9,5,23,28
9,5,23,28
9,3,18,28
9,3,18,28
13,3,18,28
13,3,18,28
13,3,18,23
13,3,18,23
13,3,18,23
13,2,13,23
13,2,13,23
9,2,13,23
9,2,13,23
9,2,13,18
9,2,13,18
9,2,13,18
9,1,8,18
9,1,8,18
11,1,8,18
11,1,8,23
11,1,8,23
11,4,8,23
11,1,8,18
11,4,5,23
11,4,5,23
14,4,5,23
14,4,5,23
14,4,5,28
14,4,5,28
14,9,5,28
14,9,9,28
19,9,9,28
19,9,9,28
19,9,9,28
19,9,9,23
19,9,9,23
19,14,9,23
19,14,9,23
14,14,9,23
14,14,9,23
14,14,9,18
14,14,9,23
14,14,9,18
14,19,9,18
14,19,11,18
9,19,11,18
9,19,11,18
9,19,11,13
9,19,11,13
9,19,11,13
9,24,16,13
9,24,16,13
4,24,16,13
4,24,16,13
4,24,16,8
4,24,16,8
4,24,16,8
4,24,16,8
4,24,14,8
9,24,14,8
9,24,14,8
9,24,14,13
9,24,14,13
9,24,14,13
9,19,9,13
9,19,9,13
14,19,9,13
14,19,9,13
14,19,9,18
14,19,9,18
14,19,9,18
14,14,6,18
14,14,6,18
19,14,6,18
19,14,6,18
19,14,6,23
19,14,6,23
19,14,6,23
19,14,7,23
24,14,7,23
24,14,7,23
24,14,7,23
24,14,7,28
24,14,7,28
24,9,7,28
24,9,2,28
29,9,2,28
29,9,2,28
29,9,2,28
29,9,2,33
29,9,2,33
29,4,2,33
29,4,0,33
34,4,0,33
34,4,0,33
34,4,0,28
34,4,0,28
34,4,0,28
34,6,0,28
34,6,0,28
29,6,0,28
29,6,0,28
29,6,0,33
29,6,0,33
29,11,0,33
24,11,0,33
29,11,0,33
24,11,0,33
24,11,0,33
24,11,0,28
24,16,0,28
24,16,0,28
21,16,0,28
21,16,0,28
21,16,0,28
21,16,0,23
21,16,0,23
21,16,0,23
21,21,0,23
16,21,0,23
16,21,0,18
21,21,0,23
16,21,0,23
16,21,0,18
16,18,0,18
16,18,0,18
11,18,0,18
11,18,0,18
11,18,0,13
16,18,0,18
11,18,0,13
11,18,0,13
11,13,0,13
24,11,0,28
11,13,0,13
9,13,0,13
9,13,0,13
9,13,0,18
9,13,0,18
9,10,0,18
9,10,0,18
14,10,0,18
14,10,0,18
14,10,0,18
14,10,0,23
14,10,0,23
14,10,0,23
14,7,0,23
14,7,0,23
16,7,0,23
16,7,0,23
16,7,0,28
16,7,0,28
16,2,0,28
16,2,0,28
13,2,0,28
13,2,0,28
16,7,0,28
13,2,0,31
13,2,0,31
13,2,0,31
13,1,0,31
13,1,0,31
13,1,0,31
13,1,0,31
13,1,0,26
13,1,0,26
13,5,0,26
8,5,0,26
8,5,0,26
8,5,0,26
8,5,0,21
13,5,0,26
8,5,0,21
8,10,0,21
8,10,0,21
5,10,0,21
5,10,0,21
5,10,0,21
5,10,0,16
5,10,0,16
5,15,0,16
5,15,0,16
6,15,0,16
6,15,0,16
6,15,0,16
6,15,0,11
6,15,0,11
6,16,0,11
6,16,4,11
4,16,4,11
4,16,4,11
4,16,4,11
4,16,4,10
4,16,4,10
4,11,4,10
4,11,4,10
4,11,4,10
9,11,4,10
9,11,4,10
9,11,4,5
9,11,4,5
9,6,4,5
9,6,0,5
9,6,0,5
14,6,0,5
14,6,0,5
14,6,0,4
14,6,0,4
14,6,0,4
14,11,2,4
14,11,2,4
19,11,2,4
19,11,2,4
19,11,2,9
19,11,2,9
19,16,2,9
24,16,4,9
24,16,4,9
24,16,4,14
19,16,4,9
24,16,4,14
24,16,4,14
24,11,5,14
24,11,5,14
29,11,5,14
29,11,5,14
29,11,5,19
29,10,5,19
29,10,1,19
29,10,1,19
29,11,5,19
25,10,1,19
25,10,1,19
25,10,1,14
25,10,1,14
25,14,1,14
20,14,2,14
25,14,2,14
20,14,2,14
20,14,2,14
20,14,2,9
20,14,2,9
20,19,2,9
20,19,0,9
15,19,0,9
15,19,0,9
15,19,0,14
15,19,0,14
15,19,0,9
15,24,3,14
10,24,3,14
10,24,3,14
10,24,3,9
15,24,3,14
15,24,0,14
10,24,3,9
10,24,3,9
10,21,6,9
10,21,6,9
5,21,6,9
5,21,6,9
5,21,6,14
5,21,6,14
5,21,6,14
5,16,1,14
10,16,1,14
10,16,1,14
10,16,1,14
10,16,1,19
10,11,1,19
10,11,6,19
12,11,6,19
12,11,6,19
10,16,1,19
12,11,6,24
12,11,6,24
12,11,6,24
12,16,9,24
12,16,9,24
17,16,9,24
17,16,9,24
17,16,9,24
17,16,9,29
20,11,4,29
17,16,9,29
17,11,4,29
20,11,4,29
20,11,4,34
20,11,4,34
20,7,4,34
20,7,3,34
20,11,4,29
24,7,3,34
24,7,3,34
17,11,4,29
24,7,3,34
24,7,3,33
24,7,3,33
24,10,3,33
24,10,8,33
21,10,8,33
21,10,8,33
21,10,8,33
21,10,8,30
21,10,8,30
21,10,8,30
21,15,9,30
21,15,9,30
16,15,9,30
16,15,9,25
16,15,9,30
16,15,9,25
16,15,9,25
16,20,11,25
16,20,11,25
11,20,11,25
11,20,11,25
11,20,11,20
11,20,11,20
11,20,11,20
11,25,11,20
11,25,16,20
6,25,16,20
6,25,16,20
6,25,16,20
6,25,16,15
6,25,16,15
6,25,14,15
11,25,14,15
11,25,14,15
11,25,14,15
11,25,14,15
11,20,11,15
11,20,11,15
11,20,11,15
11,20,11,10
11,20,11,15
11,20,11,10
11,20,11,10
11,15,11,10
11,15,11,10
6,25,14,15
16,15,11,10
16,15,11,10
11,25,14,15
16,15,11,11
16,15,11,11
16,10,11,11
16,10,6,11
21,10,6,11
21,10,6,11
21,10,6,11
21,10,6,16
21,10,6,16
21,5,6,16
21,5,5,16
20,5,5,16
20,5,5,16
20,5,5,16
20,5,5,21
20,5,5,21
20,4,10,21
20,4,10,21
25,4,10,21
25,4,10,21
25,4,10,16
25,4,10,16
25,4,10,16
25,9,10,16
20,9,10,16
20,9,10,16
20,9,10,16
20,9,10,11
20,9,10,11
20,14,10,11
20,14,12,11
15,14,12,11
15,14,12,11
15,14,12,6
15,14,12,6
15,19,17,6
15,14,12,11
10,19,17,6
15,19,12,6
10,19,17,6
10,19,17,9
10,19,17,9
10,24,12,9
10,24,12,9
7,24,12,9
7,24,12,9
7,24,12,13
7,24,12,13
10,19,17,9
7,24,12,13
7,19,15,13
7,19,15,13
12,19,15,13
12,19,15,13
12,19,15,13
12,19,15,13
12,19,15,13
12,19,15,13
12,19,15,8
12,19,15,8
12,14,15,8
12,14,10,8
17,14,10,8
17,14,10,8
17,14,10,8
17,14,10,10
12,19,15,13
17,14,10,10
17,9,10,10
17,9,5,10
22,9,5,10
22,9,5,10
22,9,5,15
22,9,5,15
